age,annual_income,employment_years,credit_score,loan_amount,loan_term_months,debt_to_income,dependents,education,self_employed,property_area,existing_loans,loan_status
31,20431.0,13,680,21774.0,36,0.498,2,Bachelor,Yes,Semiurban,1,Approved
46,155790.0,7,640,10825.0,48,0.206,1,Bachelor,No,Semiurban,1,Approved
51,80050.0,5,688,22474.0,36,0.276,1,High School,No,Semiurban,1,Approved
63,52922.0,24,612,6697.0,12,0.31,0,High School,No,Urban,2,Approved
40,44838.0,22,594,32068.0,48,0.43,0,High School,No,Urban,0,Rejected
28,99746.0,10,782,22832.0,48,0.428,3,Bachelor,No,Urban,3,Approved
58,40823.0,12,617,18663.0,24,0.205,2,Bachelor,No,Rural,0,Rejected
49,103428.0,10,690,37394.0,60,0.24,0,High School,No,Urban,1,Approved
52,74109.0,14,762,14531.0,12,0.22,1,High School,No,Semiurban,0,Approved
25,62923.0,1,759,12046.0,48,0.143,2,Bachelor,No,Urban,1,Approved
35,59583.0,16,750,43927.0,60,0.47,1,High School,No,Urban,3,Approved
55,49954.0,8,713,59553.0,36,0.585,1,Master,No,Urban,3,Rejected
58,97752.0,8,744,11469.0,60,0.381,2,Master,No,Semiurban,1,Approved
40,34172.0,17,793,16717.0,60,0.368,0,Bachelor,No,Urban,0,Approved
57,22540.0,29,722,35504.0,48,0.086,1,Master,No,Urban,0,Approved
58,77113.0,6,552,17109.0,60,0.1,1,Bachelor,Yes,Semiurban,1,Rejected
38,77829.0,20,650,26492.0,48,0.308,2,Bachelor,No,Rural,0,Approved
61,71627.0,16,742,29893.0,36,0.469,0,Bachelor,No,Semiurban,0,Approved
33,68826.0,15,643,12489.0,48,0.127,0,High School,Yes,Semiurban,1,Approved
31,46110.0,11,812,23639.0,36,0.565,4,High School,Yes,Urban,0,Approved
51,84813.0,30,685,17928.0,36,0.119,3,Bachelor,Yes,Semiurban,0,Approved
49,53639.0,20,696,8161.0,24,0.165,3,High School,No,Semiurban,1,Approved
27,42074.0,9,774,9460.0,36,0.412,2,Master,No,Semiurban,2,Approved
58,46330.0,17,676,11779.0,48,0.192,0,High School,Yes,Rural,3,Approved
29,167115.0,11,703,32914.0,60,0.055,1,Bachelor,No,Urban,2,Approved
57,21181.0,16,757,33624.0,60,0.495,1,Bachelor,No,Urban,2,Approved
21,72401.0,3,580,29307.0,24,0.03,0,High School,No,Urban,2,Rejected
56,21842.0,24,669,23961.0,36,0.367,0,High School,No,Semiurban,2,Approved
56,51821.0,0,752,23540.0,36,0.313,0,Bachelor,No,Semiurban,3,Approved
56,43330.0,21,695,21559.0,24,0.494,0,High School,No,Rural,3,Approved
50,17471.0,25,800,23460.0,36,0.513,0,High School,No,Urban,0,Approved
42,68122.0,23,572,24517.0,36,0.262,2,High School,No,Semiurban,2,Rejected
52,44626.0,15,563,7225.0,60,0.556,3,Bachelor,Yes,Urban,2,Rejected
33,17336.0,10,748,10769.0,24,0.19,1,Master,No,Urban,3,Approved
56,87278.0,20,755,9222.0,60,0.222,0,Master,Yes,Semiurban,2,Approved
46,121096.0,20,676,36967.0,60,0.37,0,Bachelor,No,Urban,1,Approved
41,124824.0,11,720,52749.0,48,0.212,2,Bachelor,Yes,Semiurban,2,Approved
43,67004.0,12,746,4395.0,24,0.275,0,Doctorate,Yes,Semiurban,3,Approved
46,56411.0,11,629,49774.0,36,0.309,2,Bachelor,No,Semiurban,1,Rejected
22,114185.0,1,637,19044.0,60,0.24,0,Master,No,Urban,1,Approved
27,138746.0,0,704,34766.0,12,0.312,2,Master,No,Semiurban,1,Approved
32,102596.0,2,758,25017.0,24,0.463,2,High School,No,Rural,2,Approved
26,32769.0,8,603,45908.0,60,0.12,0,Bachelor,No,Urban,1,Rejected
40,61441.0,15,675,20629.0,48,0.295,3,Master,No,Urban,2,Approved
51,70040.0,12,672,7420.0,48,0.195,1,High School,Yes,Urban,1,Approved
50,20329.0,29,721,16805.0,24,0.402,0,High School,No,Semiurban,1,Approved
42,71199.0,6,689,25167.0,36,0.324,1,High School,No,Semiurban,2,Approved
59,191997.0,12,649,15643.0,60,0.522,1,High School,Yes,Rural,0,Approved
46,78202.0,7,784,27602.0,36,0.15,3,High School,No,Semiurban,1,Approved
24,123682.0,6,650,17248.0,24,0.092,0,Bachelor,Yes,Rural,1,Approved
55,60821.0,18,668,12223.0,12,0.121,3,Master,No,Rural,3,Approved
46,52829.0,9,571,8886.0,48,0.626,2,High School,No,Urban,2,Rejected
49,67832.0,9,636,13953.0,36,0.287,2,Master,No,Urban,3,Approved
46,35115.0,20,729,20560.0,60,0.282,0,Doctorate,No,Rural,1,Approved
45,32371.0,25,714,5037.0,36,0.214,0,Bachelor,No,Rural,1,Approved
25,110366.0,6,735,10841.0,24,0.435,3,Doctorate,No,Semiurban,1,Approved
46,116994.0,3,731,4916.0,60,0.138,1,Bachelor,No,Urban,3,Approved
56,31888.0,7,847,12053.0,60,0.248,4,High School,Yes,Urban,2,Approved
34,93666.0,16,634,39198.0,48,0.307,1,High School,No,Rural,1,Approved
48,52431.0,29,569,8326.0,60,0.415,1,Bachelor,No,Urban,2,Rejected
22,66303.0,4,611,28429.0,24,0.327,4,Master,No,Rural,0,Rejected
36,70842.0,1,637,114676.0,36,0.498,2,High School,No,Urban,1,Rejected
40,95033.0,16,617,46301.0,24,0.126,1,Bachelor,No,Rural,3,Rejected
65,57560.0,30,697,19632.0,36,0.198,2,Master,No,Urban,1,Approved
30,119453.0,12,784,31449.0,48,0.445,0,Doctorate,Yes,Rural,1,Approved
33,65203.0,15,805,7390.0,60,0.257,1,Master,No,Semiurban,1,Approved
39,77528.0,19,728,6473.0,12,0.393,0,High School,No,Semiurban,0,Approved
65,34780.0,0,850,18339.0,36,0.264,4,High School,No,Urban,1,Approved
59,180295.0,13,663,23324.0,60,0.298,3,High School,No,Urban,0,Approved
22,71217.0,4,568,36662.0,36,0.08,3,High School,Yes,Urban,2,Rejected
31,81409.0,13,769,12437.0,36,0.359,1,Master,No,Semiurban,2,Approved
57,22711.0,6,552,20411.0,36,0.318,2,Bachelor,No,Urban,1,Rejected
23,34982.0,5,633,19961.0,36,0.098,0,Master,No,Semiurban,0,Approved
59,108654.0,20,729,16527.0,36,0.242,1,Bachelor,No,Urban,3,Approved
33,64401.0,14,682,17172.0,36,0.16,2,Bachelor,Yes,Semiurban,2,Approved
62,19197.0,17,676,10328.0,36,0.547,0,High School,No,Urban,1,Approved
34,97358.0,11,601,21589.0,36,0.198,0,Bachelor,No,Rural,3,Rejected
40,40782.0,10,689,20433.0,36,0.061,2,Master,No,Urban,2,Approved
50,119529.0,20,765,13523.0,12,0.434,2,Bachelor,Yes,Rural,3,Approved
26,52406.0,0,691,27747.0,12,0.359,1,Master,No,Semiurban,2,Rejected
46,61554.0,13,628,35109.0,36,0.206,2,Master,No,Urban,3,Approved
43,105189.0,11,596,27957.0,60,0.265,3,High School,No,Rural,1,Approved
56,33573.0,24,629,9141.0,48,0.316,0,High School,No,Urban,0,Approved
65,31857.0,22,719,19204.0,24,0.343,2,Bachelor,No,Semiurban,3,Approved
50,49366.0,13,716,9954.0,36,0.226,1,Bachelor,Yes,Semiurban,2,Approved
39,86685.0,8,630,19166.0,36,0.314,1,High School,No,Rural,3,Approved
39,26453.0,7,524,9979.0,36,0.388,0,High School,No,Urban,3,Rejected
39,21975.0,6,722,41286.0,48,0.082,1,Master,No,Urban,1,Approved
57,86520.0,8,623,29950.0,60,0.114,2,Master,No,Rural,0,Approved
35,39476.0,17,742,38085.0,24,0.174,1,High School,No,Urban,0,Approved
28,44328.0,1,633,35659.0,36,0.1,0,Bachelor,No,Semiurban,3,Rejected
36,19808.0,0,616,15097.0,36,0.562,0,High School,No,Rural,2,Rejected
22,37860.0,4,701,13650.0,36,0.109,2,High School,No,Urban,2,Approved
25,54772.0,6,850,55840.0,24,0.404,1,High School,No,Urban,3,Approved
25,91748.0,7,746,16168.0,48,0.089,0,High School,No,Urban,3,Approved
55,35987.0,23,700,7463.0,12,0.154,4,Doctorate,No,Rural,3,Approved
53,136851.0,23,717,34647.0,48,0.377,0,High School,No,Rural,1,Approved
52,37744.0,14,559,19763.0,48,0.464,2,Bachelor,Yes,Rural,2,Rejected
41,37774.0,13,606,47906.0,36,0.1,0,Master,No,Urban,0,Rejected
53,128109.0,13,502,21080.0,60,0.356,0,High School,No,Semiurban,1,Rejected
28,61783.0,6,820,17767.0,60,0.059,0,Bachelor,No,Rural,3,Approved
61,40598.0,17,805,48538.0,36,0.103,2,Bachelor,No,Rural,1,Approved
43,50502.0,25,719,6622.0,60,0.413,2,High School,No,Urban,1,Approved
63,115761.0,7,700,12304.0,60,0.54,0,High School,No,Urban,2,Approved
27,123192.0,1,574,10111.0,24,0.446,2,Master,Yes,Urban,3,Rejected
43,35096.0,17,674,4321.0,36,0.426,2,Bachelor,No,Semiurban,2,Approved
52,53731.0,12,824,31751.0,36,0.306,1,High School,No,Urban,0,Approved
43,57796.0,24,700,12529.0,48,0.203,1,Bachelor,No,Urban,3,Approved
41,31973.0,23,648,32423.0,60,0.484,1,Master,No,Rural,1,Approved
28,53341.0,10,558,23180.0,36,0.321,0,Bachelor,No,Urban,1,Rejected
38,55161.0,12,794,26709.0,12,0.161,2,Master,Yes,Urban,2,Approved
31,102971.0,13,685,13388.0,36,0.096,2,Master,No,Semiurban,2,Approved
34,106849.0,3,558,10953.0,48,0.155,2,High School,No,Rural,3,Rejected
51,45891.0,11,621,19081.0,36,0.241,2,High School,No,Semiurban,0,Approved
49,48894.0,8,594,32715.0,12,0.203,2,Bachelor,Yes,Rural,1,Rejected
48,79257.0,28,680,17420.0,36,0.399,2,Bachelor,No,Rural,1,Approved
37,39864.0,18,706,11406.0,48,0.112,3,Bachelor,No,Urban,2,Approved
64,76027.0,11,652,8257.0,24,0.295,1,Bachelor,Yes,Urban,1,Approved
24,52404.0,4,748,20554.0,36,0.045,2,High School,No,Urban,1,Approved
36,32271.0,18,696,12556.0,24,0.171,2,Doctorate,No,Semiurban,2,Approved
26,32495.0,8,770,17180.0,36,0.483,0,Bachelor,No,Semiurban,0,Approved
36,121902.0,18,663,15412.0,24,0.151,1,Bachelor,Yes,Semiurban,1,Approved
64,50466.0,13,850,13484.0,24,0.366,2,Bachelor,No,Semiurban,2,Approved
37,135575.0,4,648,21788.0,48,0.08,0,Bachelor,No,Urban,1,Approved
61,41464.0,10,622,25811.0,24,0.161,1,Doctorate,No,Urban,2,Rejected
43,64554.0,19,613,64573.0,24,0.272,0,High School,No,Semiurban,1,Rejected
52,205061.0,7,674,29461.0,36,0.419,0,Bachelor,No,Urban,3,Approved
41,30746.0,2,561,50717.0,12,0.287,1,Bachelor,No,Urban,3,Rejected
32,19366.0,14,712,10573.0,12,0.299,0,Master,Yes,Rural,0,Approved
55,111604.0,16,547,6358.0,36,0.119,2,Bachelor,No,Semiurban,3,Approved
64,34904.0,12,702,17832.0,36,0.263,1,High School,No,Semiurban,0,Approved
32,54377.0,14,589,31440.0,36,0.274,0,Bachelor,No,Urban,3,Rejected
56,39848.0,22,661,28393.0,60,0.225,0,Bachelor,No,Rural,2,Approved
32,63741.0,0,735,39558.0,36,0.461,0,High School,No,Rural,0,Approved
53,32607.0,13,850,3461.0,36,0.124,1,Bachelor,Yes,Urban,1,Approved
56,49817.0,7,609,40642.0,60,0.08,2,Bachelor,No,Urban,3,Rejected
41,70438.0,2,679,22386.0,36,0.284,1,High School,No,Rural,2,Rejected
54,31588.0,1,636,6598.0,48,0.375,0,High School,Yes,Semiurban,2,Rejected
33,37423.0,13,625,28808.0,36,0.279,1,Master,No,Rural,0,Rejected
24,45435.0,6,636,20096.0,48,0.36,3,High School,No,Semiurban,1,Rejected
25,25065.0,7,752,23062.0,60,0.517,3,High School,No,Rural,3,Rejected
41,43594.0,23,653,34460.0,12,0.172,2,Bachelor,No,Semiurban,3,Approved
61,58714.0,14,850,23809.0,60,0.1,0,High School,No,Urban,1,Approved
26,44149.0,8,721,6910.0,36,0.406,0,High School,No,Semiurban,2,Approved
41,47374.0,23,614,16402.0,36,0.192,1,Doctorate,No,Urban,2,Approved
52,54401.0,20,662,6290.0,36,0.263,1,Bachelor,No,Semiurban,3,Rejected
30,38347.0,12,630,27447.0,36,0.327,2,High School,No,Urban,0,Rejected
53,80432.0,6,750,44659.0,12,0.334,0,High School,No,Urban,0,Approved
34,121161.0,16,567,8032.0,60,0.66,3,High School,Yes,Semiurban,0,Approved
57,42603.0,21,589,11634.0,48,0.318,2,Bachelor,Yes,Urban,2,Rejected
47,71822.0,18,646,10143.0,60,0.087,4,Bachelor,No,Urban,1,Approved
45,48209.0,0,741,13401.0,36,0.602,3,High School,No,Semiurban,0,Approved
28,67246.0,10,782,23534.0,36,0.473,1,Master,No,Urban,1,Approved
41,130127.0,23,794,13496.0,36,0.304,2,Bachelor,No,Urban,2,Approved
59,72755.0,19,730,27509.0,24,0.36,2,Master,No,Semiurban,1,Approved
21,20738.0,0,684,35977.0,36,0.169,0,Bachelor,No,Semiurban,2,Rejected
55,70600.0,8,750,36837.0,60,0.373,0,Master,No,Rural,0,Approved
43,108354.0,17,604,8702.0,60,0.129,0,Bachelor,No,Semiurban,3,Approved
53,48689.0,25,552,44311.0,36,0.244,1,High School,Yes,Semiurban,1,Rejected
50,95100.0,13,723,46680.0,36,0.172,1,High School,No,Urban,1,Approved
40,37629.0,22,615,49383.0,48,0.278,0,High School,No,Urban,2,Rejected
34,24295.0,16,685,16245.0,48,0.304,1,Master,No,Semiurban,3,Approved
49,59441.0,8,699,11042.0,48,0.076,2,Bachelor,No,Semiurban,1,Approved
27,20932.0,6,709,9494.0,36,0.337,2,High School,No,Urban,1,Approved
47,48205.0,27,760,8795.0,12,0.09,0,High School,No,Semiurban,1,Approved
25,111620.0,7,752,18137.0,12,0.381,2,Bachelor,No,Urban,2,Approved
50,19239.0,26,705,31233.0,60,0.319,3,Bachelor,No,Semiurban,2,Approved
49,27211.0,28,657,42083.0,48,0.158,1,Master,No,Urban,3,Rejected
24,31178.0,6,698,13128.0,60,0.083,1,Master,No,Semiurban,0,Approved
55,53118.0,1,645,17553.0,36,0.357,0,Bachelor,No,Semiurban,2,Approved
39,44979.0,21,675,16821.0,36,0.417,2,High School,No,Semiurban,0,Approved
56,118731.0,18,850,11911.0,36,0.168,3,Bachelor,No,Semiurban,2,Approved
22,92965.0,3,704,29038.0,60,0.03,0,Bachelor,Yes,Semiurban,1,Approved
29,72221.0,11,724,22788.0,36,0.317,2,Master,Yes,Rural,0,Approved
43,59587.0,0,637,19738.0,48,0.128,0,High School,No,Urban,0,Approved
29,68279.0,8,767,22721.0,24,0.052,2,Bachelor,No,Rural,3,Approved
35,34235.0,10,747,26854.0,24,0.178,1,Bachelor,No,Urban,2,Approved
50,88129.0,14,748,26680.0,24,0.213,1,Bachelor,No,Semiurban,2,Approved
27,29836.0,9,706,10437.0,36,0.048,3,High School,No,Urban,2,Approved
51,87077.0,26,768,32233.0,60,0.466,1,High School,Yes,Urban,0,Approved
25,105606.0,7,785,21250.0,60,0.239,0,Master,No,Rural,0,Approved
28,61763.0,10,711,13570.0,48,0.165,2,High School,Yes,Urban,3,Approved
47,49920.0,29,681,20960.0,36,0.282,0,Bachelor,No,Semiurban,1,Approved
56,68546.0,23,757,22517.0,48,0.342,3,Bachelor,No,Urban,3,Approved
28,11399.0,7,622,36362.0,12,0.04,0,High School,No,Urban,0,Rejected
34,64947.0,16,636,9119.0,48,0.157,1,Bachelor,No,Rural,2,Approved
62,51676.0,8,686,42590.0,48,0.261,1,High School,No,Semiurban,3,Rejected
65,53490.0,14,559,18273.0,36,0.306,1,Bachelor,No,Semiurban,1,Rejected
47,81120.0,19,752,12954.0,12,0.172,1,High School,Yes,Urban,1,Approved
41,52784.0,9,618,12698.0,24,0.307,1,Bachelor,No,Urban,2,Rejected
36,29377.0,0,655,9388.0,36,0.433,2,Bachelor,No,Semiurban,1,Rejected
48,50885.0,25,674,5805.0,60,0.38,0,Master,No,Urban,1,Approved
47,57082.0,22,693,27957.0,48,0.278,2,High School,Yes,Urban,3,Approved
34,58589.0,3,664,65232.0,36,0.245,0,High School,No,Semiurban,2,Rejected
22,60123.0,4,685,6290.0,36,0.179,2,High School,No,Urban,0,Approved
27,97416.0,8,686,9705.0,48,0.459,2,High School,No,Rural,1,Approved
64,30266.0,30,656,29339.0,36,0.357,2,Bachelor,Yes,Semiurban,0,Approved
39,60580.0,21,632,17474.0,24,0.124,0,Master,Yes,Urban,1,Approved
42,111809.0,21,771,30961.0,48,0.335,2,Bachelor,Yes,Semiurban,3,Approved
42,21185.0,13,532,16848.0,36,0.268,2,High School,No,Semiurban,2,Rejected
56,60712.0,1,675,12341.0,36,0.331,4,Master,Yes,Urban,2,Approved
23,39860.0,5,655,15542.0,36,0.245,0,Bachelor,No,Rural,1,Approved
24,44855.0,2,721,3827.0,24,0.096,2,Bachelor,No,Semiurban,1,Approved
33,33438.0,15,581,8560.0,60,0.187,1,Bachelor,Yes,Urban,2,Rejected
42,50103.0,2,653,33340.0,60,0.263,4,Bachelor,No,Semiurban,0,Rejected
51,151415.0,21,682,39060.0,60,0.204,1,Master,Yes,Semiurban,3,Approved
43,27437.0,25,770,44897.0,60,0.329,0,High School,No,Urban,3,Approved
40,28906.0,9,715,23973.0,36,0.22,3,Bachelor,Yes,Rural,3,Rejected
63,26877.0,21,601,4153.0,36,0.274,0,Bachelor,No,Urban,0,Approved
28,142225.0,10,653,11913.0,48,0.317,2,Doctorate,No,Urban,1,Approved
46,42651.0,13,756,42581.0,12,0.148,0,Bachelor,No,Rural,1,Approved
45,54230.0,13,600,51695.0,60,0.144,3,High School,No,Urban,3,Rejected
42,44071.0,6,684,43645.0,12,0.192,1,Doctorate,No,Urban,0,Rejected
57,32717.0,13,689,15438.0,36,0.117,0,Bachelor,No,Urban,3,Approved
33,48327.0,15,661,7699.0,48,0.363,2,Bachelor,Yes,Semiurban,1,Approved
63,212590.0,20,850,17531.0,60,0.459,0,High School,Yes,Urban,3,Approved
35,118270.0,6,659,18174.0,48,0.13,0,Master,No,Semiurban,0,Approved
45,34406.0,16,724,49799.0,36,0.495,2,Bachelor,No,Semiurban,2,Approved
44,78531.0,21,633,20873.0,36,0.396,0,Doctorate,No,Semiurban,0,Approved
59,34813.0,2,730,18196.0,36,0.278,0,Bachelor,No,Rural,1,Approved
40,20704.0,22,755,18881.0,48,0.152,1,High School,No,Rural,2,Approved
33,96357.0,6,646,23343.0,36,0.246,0,Master,Yes,Urban,3,Approved
21,104103.0,3,686,27047.0,48,0.29,4,High School,No,Rural,2,Approved
37,97774.0,12,623,11239.0,12,0.126,2,High School,No,Urban,1,Approved
58,42475.0,15,604,9051.0,36,0.34,3,Master,No,Rural,0,Rejected
21,50179.0,3,768,43870.0,60,0.109,2,Doctorate,Yes,Semiurban,1,Approved
61,83072.0,6,648,6195.0,36,0.341,3,Master,No,Urban,0,Approved
45,68214.0,7,509,52191.0,48,0.545,0,High School,No,Semiurban,0,Rejected
27,44293.0,9,822,5199.0,36,0.264,2,Bachelor,No,Semiurban,3,Approved
34,22575.0,16,630,12310.0,60,0.191,3,Bachelor,No,Rural,3,Rejected
45,58555.0,27,672,33855.0,24,0.425,2,Bachelor,No,Urban,1,Approved
35,99563.0,14,813,18004.0,36,0.472,4,Bachelor,No,Semiurban,1,Approved
25,28465.0,7,679,7650.0,60,0.33,3,Bachelor,No,Semiurban,2,Approved
50,78152.0,28,678,23749.0,48,0.231,0,High School,No,Semiurban,0,Approved
51,66002.0,26,598,18801.0,36,0.499,1,Bachelor,Yes,Urban,1,Approved
26,83089.0,8,567,15642.0,36,0.125,0,High School,No,Urban,1,Approved
33,88847.0,15,678,11999.0,36,0.397,3,Master,Yes,Rural,2,Approved
31,37539.0,13,717,17600.0,60,0.355,3,Master,No,Semiurban,1,Approved
50,22601.0,7,713,12331.0,48,0.182,1,Bachelor,No,Semiurban,1,Approved
53,41013.0,11,654,87603.0,60,0.172,0,Master,No,Rural,0,Rejected
53,89689.0,22,692,15400.0,60,0.089,0,Master,No,Semiurban,1,Approved
63,40822.0,0,552,14118.0,36,0.157,0,Master,No,Semiurban,1,Rejected
55,37548.0,15,725,12658.0,36,0.142,1,Master,No,Semiurban,2,Approved
35,20198.0,17,702,57133.0,48,0.089,4,Bachelor,No,Semiurban,3,Rejected
25,144213.0,5,838,6203.0,60,0.282,0,Master,Yes,Semiurban,0,Approved
48,86615.0,24,691,22737.0,48,0.222,2,High School,Yes,Rural,0,Approved
62,83997.0,12,619,15407.0,24,0.474,2,Doctorate,Yes,Semiurban,0,Approved
64,93652.0,26,686,7136.0,60,0.275,2,Bachelor,No,Urban,0,Approved
31,75529.0,13,665,10569.0,48,0.382,0,Bachelor,No,Urban,1,Approved
31,48084.0,4,723,22118.0,60,0.294,0,High School,No,Urban,3,Approved
22,50263.0,4,692,10263.0,36,0.421,0,High School,Yes,Semiurban,1,Approved
27,43474.0,1,596,21308.0,36,0.344,0,High School,No,Rural,2,Rejected
45,234262.0,7,567,55386.0,48,0.185,0,High School,No,Rural,3,Approved
45,74670.0,27,710,20111.0,48,0.317,1,Bachelor,No,Rural,0,Approved
37,42617.0,19,794,6998.0,12,0.184,2,High School,No,Rural,0,Approved
